n:104 mse_avg:1.89 mse_y:2.38 mse_u:0.95 mse_v:0.85 psnr_avg:45.34 psnr_y:44.36 psnr_u:48.34 psnr_v:48.86 
n:105 mse_avg:1.86 mse_y:2.34 mse_u:0.97 mse_v:0.86 psnr_avg:45.39 psnr_y:44.44 psnr_u:48.26 psnr_v:48.79 
n:106 mse_avg:1.07 mse_y:1.21 mse_u:0.83 mse_v:0.76 psnr_avg:47.79 psnr_y:47.30 psnr_u:48.95 psnr_v:49.29 
n:107 mse_avg:1.41 mse_y:1.66 mse_u:0.96 mse_v:0.84 psnr_avg:46.62 psnr_y:45.94 psnr_u:48.33 psnr_v:48.87 
n:108 mse_avg:1.64 mse_y:2.02 mse_u:0.92 mse_v:0.83 psnr_avg:45.96 psnr_y:45.08 psnr_u:48.50 psnr_v:48.96 
n:109 mse_avg:1.90 mse_y:2.39 mse_u:0.94 mse_v:0.85 psnr_avg:45.32 psnr_y:44.34 psnr_u:48.38 psnr_v:48.82 
n:110 mse_avg:1.90 mse_y:2.39 mse_u:0.96 mse_v:0.88 psnr_avg:45.31 psnr_y:44.34 psnr_u:48.32 psnr_v:48.71 
n:111 mse_avg:1.08 mse_y:1.21 mse_u:0.84 mse_v:0.77 psnr_avg:47.78 psnr_y:47.31 psnr_u:48.87 psnr_v:49.25 
n:112 mse_avg:1.40 mse_y:1.66 mse_u:0.94 mse_v:0.85 psnr_avg:46.63 psnr_y:45.94 psnr_u:48.39 psnr_v:48.86 
n:113 mse_avg:1.42 mse_y:1.68 mse_u:0.94 mse_v:0.86 psnr_avg:46.57 psnr_y:45.87 psnr_u:48.41 psnr_v:48.81 
n:114 mse_avg:1.92 mse_y:2.43 mse_u:0.96 mse_v:0.87 psnr_avg:45.26 psnr_y:44.28 psnr_u:48.30 psnr_v:48.74 
n:115 mse_avg:1.39 mse_y:1.64 mse_u:0.92 mse_v:0.83 psnr_avg:46.67 psnr_y:45.97 psnr_u:48.49 psnr_v:48.93 
n:116 mse_avg:1.08 mse_y:1.21 mse_u:0.83 mse_v:0.78 psnr_avg:47.78 psnr_y:47.29 psnr_u:48.96 psnr_v:49.22 
n:117 mse_avg:1.40 mse_y:1.65 mse_u:0.93 mse_v:0.86 psnr_avg:46.65 psnr_y:45.96 psnr_u:48.46 psnr_v:48.78 
n:118 mse_avg:1.64 mse_y:2.02 mse_u:0.92 mse_v:0.84 psnr_avg:45.94 psnr_y:45.07 psnr_u:48.48 psnr_v:48.89 
n:119 mse_avg:1.93 mse_y:2.44 mse_u:0.95 mse_v:0.86 psnr_avg:45.24 psnr_y:44.25 psnr_u:48.34 psnr_v:48.77 
n:120 mse_avg:1.91 mse_y:2.41 mse_u:0.96 mse_v:0.88 psnr_avg:45.28 psnr_y:44.31 psnr_u:48.29 psnr_v:48.70 
n:121 mse_avg:1.08 mse_y:1.22 mse_u:0.83 mse_v:0.77 psnr_avg:47.77 psnr_y:47.28 psnr_u:48.92 psnr_v:49.29 
